renters,description
Surya Lighting Official store,"Surya SYH S6W-3 Yellow Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip Super LED 6W sehingga cahaya yang di hasilkan sangat terang dengan jarak sorot yang jauh hingga 100 meter. *Dapat di gunakan di dalam air, menjadikan pengalaman menyelam anda lebih memuaskan, dengan tingkat kedalaman hingga 50 meter *Menggunakan baterai yang berkualitas Lithium 3.7V dengan total kapasitas 1800mAh, sehingga mampu menyala lebih lama hingga 12 jam. *Baterai yang dapat dicas ulang hingga 1000x, dengan perlindungan Overcharge Protection, yang dapat memutuskan arus pengisian secara otomatis jika baterai sudah terisi penuh, agar umur baterai tetap terjaga. *Terdapat indikator pengecasan baterai penuh di adaptor. *Watt: 6W *Tipe LED: Super LED *Warna LED: Kuning *Baterai: Lithium 18650 *Kapasitas: 3.7V 1800mAh *Lama Penggunaan: 12 Jam *Waktu Pengecasan: 6 Jam *Bahan Produk: ABS *Diameter Lampu: Ø76mm *Dimensi Lampu: 85 x 80 x 76 mm *Aksesoris: Adaptor Pengecasan & Karet Ikat Kepala *Fungsi Tambahan: Selam *Aplikasi :Penyelam, Perbengkelan, Pertambangan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi, dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
LED Smart Home,"Lampu Kepala Led Headlamp Flashlight Glare T8 Zoom Motion Sensor Zoom Headlamp dengan Sumbu T8 Glare Zoom super terang, awet, dan tahan lama digunakan.  Cahaya Sorot kuat super terang dengan 3 Mode Sorot, dapat di zoom-In dan zoom-out,serta dengan sensor induksi. Pengisian daya micro Usb dan dapat dijadikan powerbank. Baterai kapasitas tinggi 2400mAh, Rotasi segala arah. Tahan Air, cocok untuk penggunaan luar ruangan, berkemah, bersepeda, memancing, pekerjaan darurat, penggunaan luar ruangan. Fitur: 1. Sumbu T8 Glare Zoom, sorot cahaya super terang dan cahaya jernih. 2. Dengan Bahan ABS Kualitas tinggi, kokoh dan awet digunakan. 3. Mode Cahaya dapat disesuaikan, 3 tingkat cahaya dan fungsi zoomable. 4. Sensor Induksi, Rotasi 360, pengisian daya micro-Usb, dan fungsi powerbank untuk memudahkan penggunaan. 5. Daya Tahan Air tinggi, penggunaan luar ruangan yang bagus dan tahan lama. Spesifikasi: Material: ABS+Aluminium Alloy Lensa: Lensa Convex Sumber Cahaya: Chip Led XML-T8 Warna Cahaya: Putih Terang Lumens: 3000 Lm Jarak Sorot: 300-500 m Baterai: Built-In Lithium 18650 Rechargeable Pengisian Daya: Micro-USB Waktu Pengisian: 3-5 Jam Waktu Pemakaian: 6-8 Jam 4 Mode Cahaya: Sorot Kuat-Rendah-Strobo- Mode Induksi Fokus Rotasi 360; Zoomable Fungsi Tahan Air IPX5  Isi Kemasan: 1 x Headlamp T8 1 x Kabel Cas Usb 1 x Strap Kepala"
Surya Lighting Official store,"Surya SYH L083A Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip LED Super 12W dengan jarak sorot yang tajam hingga 100 meter. *Baterai yang dapat dicas ulang hingga 500x. *Watt: 8W *Warna LED: Putih *Baterai: Lead Acid *Kapasitas: 4V 1200mAh *Lama Penggunaan: 10 Jam *Waktu Pengecasan: 8 Jam *Bahan Produk: ABS *Diameter Lampu: 85mm *Dimensi Lampu: 107 x 90 x 85 mm *Aksesoris: Kabel AC Angka 8 & Karet Ikat Kepala	 *Aplikasi :Perbengkelan, Pertambangan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi, dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
Batterypedia,"Camelion Headlamp Rechargeable Sensor RS71 FITUR UTAMA -Sensor gelombang dengan jarak penginderaan 10cm -Micro usb isi ulang -Sudut cahaya yang dapat disesuaikan SPESIFIKASI Sumber Daya: 600mAh Rechargeable Li-Polymer Battery Mode Pencahayaan :Tinggi / Sedang/ Rendah / Strobe/ SOS Luminous Flux ：Cahaya Putih 80 Lumens ( 2 Jam ) - Cahaya Merah 10 Lumens ( 12 Jam ) Waktu Isi Ulang Baterai : 1.5 Jam Jarak Sensor : 10cm Dimensi ：60mm x 45mm x 34mm Berat ：57 gr ISI : - 1pcs Headlamp Rechargeable Sensor - 1pcs Kabel USB Camelion Memproduksi beragam Baterai Primary (Baterai Alkaline - Super Heavy Duty - Ekstra Heavy Duty - Lithium - Button Cell), Baterai Rechargeable, Senter, Jump Starter, dan AAksesoris Mobile lainnya. Yang telah Didistribusikan di berbagai Negara dan kini hadir di Indonesia !"
Outdoor Styles,"## BARANG PASTI READY SELAMA TERPAJANG DI ETALASE PRODUK ## Spesifikasi produk : # Material sudah ABS / PC # Water Resistant sudah IPX-4, gerimis manja aman  # Bat. 3 x AAA # Jarak sinar lampu mencapai 150m # tingkat keterangan sinar lampu mencapai 200 lumens # berat 130gr"
Outdoor Styles,## BARANG PASTI READY SELAMA TERPAJANG DI ETALASE PRODUK ## HEADLAMP DHAULAGIRI Bahan baku plastik ABS Lampu LED 160 lumens Tali karet dapat disesuaikan  Dua tombol switch dengan 7 mode cahaya  Baterai 2*AAA Waterproof Warna :  Biru Abu Hitam
Outdoor Styles,"## BARANG PASTI READY SELAMA TERPAJANG DI ETALASE PRODUK ##   Spek : # waterproof  # memiliki 3 modes dasar, Light, Bright, SoS # sangat terang, jangan diarahkan ke mata # memakai batrai 3 x AAA # memiliki jangkauan yang cukup jauh # memiliki daya 3w membuat konsumsi batrai lebih awet tanpa mengurangi tingkat keterangan sinar dari lampu karena sudah memakai jenis LED."
SvkaSvka,"Features :  Light bulb : 811 XPE+2LED+4*COB+2*LED (red light+blue light) 811S XPE+4*COB+2*LED (red light+blue light) Product Size :15.8*3*2.5CM net weight :115G box size : 18*6*5.5CM gross weight :157G Material : ABS Battery : Built-in 1200mAh battery charging method :Type-C USB charging waterproof level : IPX4 lumen : 200-300 lumens range : 30-50 meters features : Multi-light source with induction red light warning power display battery life : 3-4 hours charging time : 1.5 hours indicator light : 811 four blue LED power indicators 25%-50%-75%-100% flashing sequentially when charging, fully bright package contains	Headlight + headlight belt + USB cable + color box"
Surya Lighting Official store,"Surya SYH L155L Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip LED Super 15W dengan jarak sorot yang tajam hingga 150 meter. *Tahan terhadap guyuran air hujan sehingga dapat digunakan untuk pemakaian outdoor. *Baterai yang dapat dicas ulang hingga 1000x, dengan perlindungan Overcharge Protection, yang dapat memutuskan arus pengisian secara otomatis jika baterai sudah terisi penuh, agar umur baterai tetap terjaga. *Terdapat indikator pengecasan baterai penuh di adaptor.  *Tipe LED: LED Super *Warna LED: Putih *Baterai: Lithium 18650 *Kapasitas: 3.7V 1800mAh *Lama Penggunaan: 8 Jam *Waktu Pengecasan: 6 Jam *Bahan Produk: ABS *Diameter Lampu: 59mm *Dimensi Lampu: 86 x 82 x 59 mm *Aksesoris: Adaptor Pengecasan & Karet Ikat Kepala &      Bulb DC 3W	 *Fungsi Tambahan: SOS -SOS yang berguna sebagai sandi darurat/ pencarian/ tersesat. *Aplikasi :Perbengkelan, Pertambangan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi, dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
Harvest Lighting Official Store,"Headlamp S80W SILVER Series HARVEST LIGHTING merupakan senter kepala berkualitas dengan kapasitas baterai 2600 mAh dan dapat menyala terang sampai dengan 10 jam. Senter kepala modern dengan fitur charger tipe USB Type-C yang dapat mengisi daya jauh lebih cepat dan praktis dibandingkan senter kepala biasa. Tersedia juga paket Isi 4 dan paket Isi 8 Headlamp dengan harga yang lebih hemat. Kegunaan: -  Pelengkap kerja di bengkel/AC/kontraktor /perbaikan AC atau elektronik lainnya -  Pencahayaan saat travelling, hunting atau kegiatan outdoor  -  Pencahayaan saat  mencari ikan/udang/kodok  -  Pencahayaan di sawah/ladang/rawa-rawa -  Sebagai Lampu Emergency saat mati lampu, dll. Isi dalam box: - 1 unit Headlamp  - 1 unit Charger 1A - 1 unit Kabel USB Type-C - 1 set ban untuk pengikat di kepala - Kartu Garansi Spesifikasi: - Diameter senter: 5,8 cm (berat headlamp saja: 122 gram) - Jangkauan sinar: 100 - 200 m (relatif tergantung tingkat cahaya di sekitar) - Baterai isi ulang (menggunakan Battery Lithium Ion kapasitas 2600 mAh) - Tingkat terang cahaya dengan 3 step (Terang, Terang Standar dan Blinking) - Spesifikasi masa pemakaian: 5 - 10 jam - Pilihan Warna Cahaya lampu:   1. Putih    2. Kuning Masa Garansi : 3 (tiga) bulan. Ketentuan Garansi Produk Senter / Senter Kepala / Headlamp bisa dibaca di CATATAN TOKO Catatan tambahan: •	Selama produk masih terpajang maka barang masih ready stock, jadi bisa langsung dipesan. •	Pesanan kami proses langsung selama hari/jam kerja sesuai urutan. •	Pengiriman mengikuti jadwal pick up kurir ekspedisi setiap hari. •	Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. •	Apabila ada keluhan atau masalah, mohon untuk tidak buru - buru memberikan bintang dan review  tetapi  sebaiknya chat untuk segera kami bantu kasih solusi terbaik; karena kakak puas kamipun senang. Selamat berbelanja."
Surya Lighting Official store,"Surya SYH L155R Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip LED Super 15W dengan diameter reflektor yang besar, sehingga cahaya yang dihasilkan sangat terang dengan jarak sorot yang jauh hingga 150 meter. *Tahan terhadap guyuran air hujan sehingga dapat di gunakan untuk pemakaian outdoor. *Baterai yang dapat dicas ulang hingga 1000x, dengan perlindungan Overcharge Protection, yang dapat memutuskan arus pengisian secara otomatis jika baterai sudah terisi penuh, agar umur baterai tetap terjaga. *Terdapat indikator pengecasan baterai penuh di adaptor.  *Tipe LED: LED Super *Warna LED: Putih *Baterai: Lithium 18650 *Kapasitas: 3.7V 3600mAh *Lama Penggunaan: 16 Jam *Waktu Pengecasan: 8 Jam *Bahan Produk: ABS *Diameter Lampu: 84mm *Dimensi Lampu: 93 x 100 x 84 mm *Aksesoris: Adaptor Pengecasan & Karet Ikat Kepala *Fungsi Tambahan: Dimmer, Blitz & SOS -Dimmer, dapat mengatur tingkat cahaya sesuai dengan kebutuhan anda. -Blitz, bisa di gunakan pada saat berburu. -SOS yang berguna sebagai sandi darurat/ pencarian/ tersesat. *Aplikasi :Perbengkelan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
Aoki Official Store,"📌IP65 PROFESSIONAL HEAD LAMP Bahan Aluminum ⏳AOKI SENTER KEPALA 200WATT Aluminum + Professional IP65 💎Senter Kepala AOKI AK 200WATT Army di jamin TERANG dilengkapi dengan 3 Baterai Lithium Cas Ulang sebesar 7200mAh dapat menyala hingga 20 Jam Non Stop, mampu menyorot cahaya sejauh 1500meter ! cocok untuk outdoor, berburu, memancing,mendaki gunung, berkebun dan lain-lain. 📦Spesifikasi Produk : ⚡Kode Produk : AOKI AK-S200 ⚡Model : Aluminum Brown ⚡Daya  :  LED Laser 200W ⚡Diameter Reflektor : 98mm ⚡Jarak Cahaya : ±1500meter / 1.5 Kilometer ⚡Kapasitas Baterai : 7200mAh (2400*3) ⚡Tahan hingga : 20 Jam ⚡Pengisian Baterai :  ±6 - 12 Jam ⚠️ Terbuat dari bahan Alumnium yang berkualitas tinggi. Sudah lulus UJI COBA kami,test menyala 20 jam non-stop. ⚠️ Hati-hati terhadap produk Palsu/ Tiruan yang sudah beredar dengan harga jauh lebih murah. kebanyakan tidak memberikan jaminan Garansi barang original."
Surya Lighting Official store,"Surya SYH L125C Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip LED Super 12W dengan jarak sorot yang tajam hingga 100 meter. *Tahan terhadap guyuran air hujan, sehingga dapat digunakan untuk pemakaian outdoor. *Baterai yang dapat dicas ulang hingga 1000x, dengan perlindungan Overcharge Protection, yang dapat memutuskan arus pengisian otomatis jika baterai sudah terisi penuh.  *Warna LED : Putih *Baterai: Lithium Polymer *Kapasitas: 3.7V 3000mAh *Lama Penggunaan: 20 Jam *Waktu Pengecasan: 5 Jam *Bahan Produk: ABS *Diameter Lampu: 46mm *Dimensi Lampu: 68.5 x 62.6 x 71.6 mm *Aksesoris: Kabel Micro USB & Karet Ikat Kepala *Fungsi Tambahan: Dimmer & Blitz *Di lengkapi dengan fitur : -Dimmer, dapat mengatur tingkat cahaya sesuai dengan kebutuhan anda. -Blitz, bisa di gunakan pada saat berburu. *Aplikasi:Perbengkelan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
Surya Lighting Official store,"Surya SYH L155E Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip Super LED 15W, sehingga cahaya yang di hasilkan sangat terang dengan jarak sorot yang jauh hingga 150 meter. *Pengisian daya yang cepat dan dapat di cas ulang hingga 1000x, dengan perlindungan Overcharge Protection, yang dapat memutuskan arus pengisian secara otomatis jika baterai sudah terisi penuh, agar umur baterai tetap terjaga. *Terdapat indikator pengecasan baterai penuh di adaptor. *Tahan terhadap cipratan air yang memungkinkan untuk digunakan pada kegiatan outdoor. Watt: 15W *Tipe LED: Super LED *Warna LED: Putih *Baterai: Lithium 18650 *Kapasitas: 3.7V 2000mAh *Lama Penggunaan: 15 Jam *Waktu Pengecasan: 3 Jam *Bahan Produk: ABS *Diameter Lampu: Ø54 mm *Dimensi Produk: 74.5 x 77.5 x 54.5 mm *Aksesoris: Adaptor Pengecasan & Karet Ikat Kepala *Tingkat Cahaya	: Kuat, Lemah *Aplikasi : Perbengkelan, Pertambangan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
Surya Lighting Official store,"Surya SYH L335R Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip Cree LED 33W dengan diameter reflektor yang besar, sehingga cahaya yang di hasilkan sangat terang dengan jarak sorot yang jauh hingga 250 meter. *Dapat di gunakan di dalam air, menjadikan pengalaman menyelam anda lebih memuaskan, dengan tingkat kedalaman hingga 10 meter *Baterai yang dapat di cas ulang hingga 1000x, dengan perlindungan Overcharge Protection, yang dapat memutuskan arus pengisian secara otomatis jika baterai sudah terisi penuh, agar umur baterai tetap terjaga. *Terdapat indikator pengecasan baterai penuh di adaptor.  *Watt: 33W *Tipe LED: Cree LED *Warna LED: Putih *Baterai: 2pcs Lithium 18650 *Kapasitas: 3.7V 4800mAh *Lama Penggunaan: 16 Jam *Waktu Pengecasan: 8 Jam *Bahan Produk: ABS *Diameter Lampu: 84.2mm *Dimensi Lampu: 84.2 x 90 x 84.2 mm *Aksesoris: Adaptor Pengecasan & Karet Ikat Kepala *Di lengkapi dengan fitur : -Dimmer, dapat mengatur tingkat cahaya sesuai dengan kebutuhan anda. -Blitz, bisa di gunakan pada saat berburu. -SOS yang berguna sebagai sandi darurat/ pencarian/ tersesat. *Aplikasi :Penyelam, Perbengkelan, Pertambangan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi, dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
Surya Lighting Official store,"Surya SYH L305S Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip LED Super 15W dengan diameter reflektor yang besar, sehingga cahaya yang di hasilkan sangat terang dengan jarak sorot yang jauh hingga 250 meter. *Tahan terhadap guyuran air hujan sehingga dapat digunakan untuk pemakaian outdoor. *Baterai yang dapat dicas ulang hingga 1000x, dengan perlindungan Overcharge Protection, yang dapat memutuskan arus pengisian secara otomatis jika baterai sudah terisi penuh, agar umur baterai tetap terjaga. *Terdapat indikator pengecasan baterai penuh di adaptor.  *Tipe LED: LED Super *Warna LED: Putih *Baterai: 2pcs Lithium 18650 *Kapasitas: 2x 3.7V 4200mAh *Lama Penggunaan: 14 Jam *Waktu Pengecasan: 8 Jam *Bahan Produk: ABS *Diameter Lampu: 93mm *Dimensi Lampu: 95 x 95 x 105 mm *Aksesoris: Adaptor Pengecasan & Karet Ikat Kepala &   Bulb DC 3W *Fungsi Tambahan: Dimmer, Blitz & SOS -Dimmer, dapat mengatur tingkat cahaya sesuai dengan kebutuhan anda. -Blitz, bisa di gunakan pada saat berburu. -SOS yang berguna sebagai sandi darurat/ pencarian/ tersesat. *Aplikasi : Perbengkelan, Pertambangan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi, dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
Surya Lighting Official store,"Surya SYH L255R Senter Kepala LED / Headlamp Rechargeable *Menggunakan Chip LED Super 25W dengan diameter reflektor yang besar, sehingga cahaya yang di hasilkan sangat terang dengan jarak sorot yang jauh hingga 200 meter. *Tahan terhadap guyuran air hujan sehingga dapat digunakan untuk pemakaian outdoor. *Menggunakan 2pcs baterai yang berkualitas Lithium 3.7V dengan total kapasitas 4200mAh, sehingga mampu menyala lebih lama hingga 16 jam. *Baterai yang dapat dicas ulang hingga 1000x, dengan perlindungan Overcharge Protection, yang dapat memutuskan arus pengisian secara otomatis jika baterai sudah terisi penuh, agar umur baterai tetap terjaga. *Terdapat indikator pengecasan baterai penuh di adaptor.  *Tipe LED: LED Super *Warna LED: Putih *Baterai: 2pcs Lithium 18650 *Kapasitas: 2x 3.7V 2100mAh *Lama Penggunaan: 16 Jam *Waktu Pengecasan: 8 Jam *Bahan Produk: ABS *Diameter Lampu: 93mm *Dimensi Lampu: 95 x 95 x 105 mm *Aksesoris: Adaptor Pengecasan & Karet Ikat Kepala *Fungsi Tambahan: Dimmer, Blitz & SOS -Dimmer, dapat mengatur tingkat cahaya sesuai dengan kebutuhan anda. -Blitz, bisa di gunakan pada saat berburu. *Aplikasi :Perbengkelan, Pertambangan, Proyek Bangunan, Berburu, Memancing, Mendaki, Teknisi, dll. Note : *Selama barang kami masih terpajang maka barang masih ready stock *Pesanan akan diproses maksimal dikirim 2 x 24 jam. *Mohon untuk buat Video Unboxing saat paket dibuka untuk menghindari kesalahan produk/ kurang barang. Karena mohon maaf, kami tidak menerima komplainan jika ada barang yang rusak atau salah kirim tanpa Video Unboxing. *Mohon Kotak dan Bukti pembelian disimpan untuk mempermudah dan mempercepat klaim garansi jika diperlukan. Informasi mengenai : *Kebijakan Garansi & Retur *Jadwal pengiriman produk *FAQ (Frequently ask Question) dapat di baca di informasi toko https://www.tokopedia.com/suryalighting Membeli berarti setuju dan mengikuti peraturan Surya Lighting Official Store"
Adlr,"Senter kepala LED Cree dan lampu COB yang bisa dijadikan lampu penerangan / lampu emergency. Senter kepala dengan sistem Rechargeable dan super terang, cocok untuk Anda yang suka beraktivitas di luar rumah seperti hiking, camping, memancing,dll. Terdapat magnet pada body senter, sehingga bisa di tempel di kap mobil saat memperbaiki mobil atau ditempel pada permukaan besi lainnya. Spesifikasi : Material : ABS Input Voltage : DC 6V-12V Lighting Period : 6 Hours Light Source : XPE + COB LED Charging : Micro USB Charging Power Source : Built-in 18650 Battery Feature : Magnetic/Adjust The Brightness Colour : Black Fitur : ⍟ Rechargeable + Magnet ⍟ Lampu LED system ⍟ Input Voltage : DC 6V-12V ⍟ Lighting Period : 6 Hours ⍟ Light Source : XPE + COB LED ⍟ Charging : Micro USB Charging ⍟ Power Source : Built-in 18650 Batteryi Informasi produk ⍟ berat : 83.8 gram ⍟ bahan :  ABS ⍟ ukuran : 8.8x5.2x6.3cm ✅ garansi 100% uang kembali jika produk diterima rusak atau tidak sesuai foto ✅ packing aman dan rapi ✅ proses pengiriman super cepet! ✅ pengecekan produk sebelum dikirim Happy shopping :)"
Power Tools Makassar,"Color LED : Putih Material : ABS - Waterproof ( Anti Air ) -. Senter Kepala Led Cree dan Lampu COB. Super Terang. -. Rechargeable -. Lampu COB Bisa dijadikan lampu penerangan / Emergency. -. Terdapat Magnet pada Body Senter, sehingga bisa di tempel di kap mobil saat memperbaiki mobil.. atau ditempel pada permukaan besi lainnya. -. Dilengkapi Kabel Colok Micro USB. -. Tali Strap yang Berkualitas. -. Tombol ON/OFF disamping dan di Buka Penutupnya untuk pengecasan. -. Cocok untuk Bersepeda, Memancing, Camping, Hiking, Berlayar, Maupun Peralatan Proyek pada Helm Proyek"
Alvariko,"Senter kepala LED Cree dan lampu COB yang bisa dijadikan lampu penerangan / lampu emergency. Senter kepala dengan sistem Rechargeable dan super terang, cocok untuk Anda yang suka beraktivitas di luar rumah seperti hiking, camping, memancing,dll. Terdapat magnet pada body senter, sehingga bisa di tempel di kap mobil saat memperbaiki mobil atau ditempel pada permukaan besi lainnya. Spesifikasi : Material : ABS Input Voltage : DC 6V-12V Lighting Period : 6 Hours Light Source : XPE + COB LED Charging : Micro USB Charging Power Source : Built-in 18650 Battery Feature : Magnetic/Adjust The Brightness Colour : Black Fitur : ⍟ Rechargeable + Magnet ⍟ Lampu LED system ⍟ Input Voltage : DC 6V-12V ⍟ Lighting Period : 6 Hours ⍟ Light Source : XPE + COB LED ⍟ Charging : Micro USB Charging ⍟ Power Source : Built-in 18650 Batteryi Informasi produk ⍟ berat : 83.8 gram ⍟ bahan :  ABS ⍟ ukuran : 8.8x5.2x6.3cm ✅ garansi 100% uang kembali jika produk diterima rusak atau tidak sesuai foto ✅ packing aman dan rapi ✅ proses pengiriman super cepet! ✅ pengecekan produk sebelum dikirim Happy shopping :)"
Outdoor Styles,"## BARANG PASTI READY SELAMA TERPAJANG DI ETALASE PRODUK ## Spesifikasi produk : # Material sudah ABS / PC # Water Resistant sudah IPX-4, gerimis manja aman  # Bat. 3 x AAA # Jarak sinar lampu mencapai 150m # tingkat keterangan sinar lampu mencapai 200 lumens # berat 130gr"
Outdoor Styles,## BARANG PASTI READY SELAMA TERPAJANG DI ETALASE PRODUK ## HEADLAMP DHAULAGIRI Bahan baku plastik ABS Lampu LED 160 lumens Tali karet dapat disesuaikan  Dua tombol switch dengan 7 mode cahaya  Baterai 2*AAA Waterproof Warna :  Biru Abu Hitam
Outdoor Styles,"## BARANG PASTI READY SELAMA TERPAJANG DI ETALASE PRODUK ##   Spek : # waterproof  # memiliki 3 modes dasar, Light, Bright, SoS # sangat terang, jangan diarahkan ke mata # memakai batrai 3 x AAA # memiliki jangkauan yang cukup jauh # memiliki daya 3w membuat konsumsi batrai lebih awet tanpa mengurangi tingkat keterangan sinar dari lampu karena sudah memakai jenis LED."
